Journal,Liczba artykułów
Scientific reports,16
Ecotoxicology and environmental safety,15
Environmental monitoring and assessment,13
Journal of hazardous materials,13
The Science of the total environment,13
Heliyon,13
Environment international,11
"Environmental pollution (Barking, Essex : 1987)",11
Environmental research,11
Environmental science & technology,10
