Rok,Miesiąc,Warszawa,Katowice
2021,1,30.749285087338457,38.62496064294126
2021,2,34.79292354312839,47.28250501488096
2021,3,22.154147645547745,35.44228375672043
2021,4,14.998276301771517,21.111972375
2021,5,8.458042720281695,12.071107600806451
2021,6,11.266997150691465,14.674385402862724
2021,7,12.256510650973556,13.679777184139786
2021,8,9.551171894692365,11.054942620814614
2021,9,12.12116232654326,15.1404716875
2021,10,17.827271148693175,21.53342628633742
2021,11,22.1130396061405,25.241813597222222
2021,12,25.847642911969118,36.74701179435483
2024,1,19.8285691255033,28.96525537634409
2024,2,15.395875640896753,21.498706896551724
2024,3,21.339582771737504,27.72398976468545
2024,4,12.236795880149812,16.042569444444442
2024,5,9.73129921604433,12.339095192345017
2024,6,9.97238970500511,14.237655488763162
2024,7,8.35881603116059,12.998248151172811
2024,8,10.132525956338975,14.772916666666667
2024,9,15.077972556976777,16.795833333333334
2024,10,16.400267614020507,20.32950268817204
2024,11,19.53662216365468,26.317222222222224
2024,12,19.94948344710659,32.63991935483871
